"id","adu_numero","adu_seccion","adu_denomina"
"297","0","0","Sonoyta, Son."
"298","1","1","San Emeterio, Son."
"299","0","0","L?zaro C?rdenas, Mich."
"300","1","1","Zihuatanejo, Gro."
"301","0","0","Monterrey, N.L."
"302","1","1","Aeropuerto Internal. De Apodaca"
"303","0","0","Cancun, Q. Roo."
"304","2","2","Aeropuerto Internal. De Cozumel"
"305","3","3","Puerto Morelos, Q. Roo."
"306","0","0","Quer?taro, Qro."
"307","2","2","Aeropuerto Internal. De Morelia"
"308","3","3","Celaya, Gto. (Exportaci?n)"
"309","4","4","Aeropuerto Internal. Del Baj"
"310","5","5","Le?n, Gto. (Exportaci?n)"
"311","0","0","Toluca, Mex."
"312","0","0","Chihuahua, Chih."
"313","1","1","Parque Ind. Las Am?ricas, Chi"
"314","2","2","Aeropuerto Internal. Chihuahua"
"315","0","0","Aguascalientes, Ags."
"316","1","1","San Luis Potos?, S.L.P.(Exportaci?n)"
"317","2","2","Aeropuerto Internal. De Calera"
"318","0","0","Puebla, Pue."
"319","1","1","Cuernavaca, Mor."
"320","2","2","Tlaxcala, Tlax."
"321","0","0","Colombia, N.L."
"322","0","0","Altamira, Tamps."
"323","0","0","Cd. Camargo, Tamps."
"324","0","0","Dos Bocas, Tab. y Aeropuerto Internal. de Palenque, Chi."
"325","1","1","Aeropuerto Internal. ""C.P. A. Carlos Robirosa"", Villahermosa"
"326","2","2","Frontera, Tabasco."
"327","0","0","Acapulco, Gro."
"328","0","0","Agua Prieta, Sonora."
"329","0","0","Subteniente L??pez, Q. Roo"
"330","0","0","Cd. Del Carmen, Camp."
"331","1","1","Campeche, Camp."
"332","2","2","Frontera, Tab."
"333","0","0","Cd. Ju?írez, Chih."
"334","1","1","Puente Internal. Zaragoza-Isle"
"335","2","2","San Jeronimo-Sta. Teresa"
"336","3","3","Aeropuerto Internal. Ju?írez"
"337","0","0","Coatzacoalcos, Ver."
"338","1","1","Aeropuerto Internal. Villahermosa"
"339","0","0","Ensenada, B.C."
"340","0","0","Guaymas, Son."
"341","0","0","La Paz, B.C.S."
"342","2","2","San Jos? Del Cabo, B.C.S."
"343","3","3","Cabo San Lucas, B.C.S."
"344","4","4","Santa Rosalia, B.C.S."
"345","5","5","Loreto, B.C.S."
"346","7","7","Pichilingue, B.C.S."
"347","0","0","Manzanillo, Col."
"348","0","0","Matamoros, Tamps."
"349","1","1","Pte. Internal Lucio Blanco-Los"
"350","0","0","Mazatlan, Sin."
"351","3","3","Topolobampo, Sin."
"352","4","4","Aeropuerto Internal. De Culiacan"
"353","0","0","Mexicali, B.C."
"354","2","2","Los Algodones, B.C."
"355","3","3","San Felipe, B.C."
"356","0","0","M?®xico"
"357","1","1","Postal Del D.F."
"358","2","2","Pantaco, D. F."
"359","0","0","Naco, Son."
"360","0","0","Nogales, Son."
"361","1","1","Sasabe, Son."
"362","0","0","Nuevo Laredo, Tamps."
"363","0","0","Ojinaga, Chih."
"364","0","0","Puerto Palomas, Chih."
"365","0","0","Piedras Negras, Coah."
"366","1","1","Aeropuerto De Ramos Arizpe, Coahuila"
"367","0","0","Progreso, Yuc."
"368","2","2","Aeropuerto Internal. De M?rida"
"369","0","0","Cd. Reynosa, Tamps."
"370","2","2","Las Flores Cd. Nuevo Progreso,"
"371","3","3","Nuevo Amanecer, Cd. Reynosa, Tamps."
"372","0","0","Salina Cruz, Oax."
"373","0","0","San Luis R?¡o Colorado, Son."
"374","0","0","Cd. Miguel Alem?n, Tamps."
"375","2","2","Nva. Ciudad Guerrero, Tamps."
"376","0","0","Cd. Hidalgo, Chis."
"377","1","1","Tapachula, Chis."
"378","2","2","Talism?n, Chis."
"379","5","5","Puerto Madero, Chis."
"380","6","6","Cd. Cuauhtemoc, Chis."
"381","0","0","Tampico, Tamps."
"382","0","0","Tecate, B.C."
"383","0","0","Tijuana, B.C."
"384","1","1","Mesa De Otay, B.C."
"385","2","2","Aeropuerto Internal. Tijuana,"
"386","0","0","Tuxpan, Ver"
"387","0","0","Veracruz, Ver."
"388","2","2","Aeropuerto Internal. Veracruz,"
"389","0","0","Cd. Acu?a, Coah."
"390","0","0","Torre?n, Coah."
"391","0","0","Aeropuerto Internal. Cd. De M?xico"
"392","1","1","Sat?lite Lado Sur Del Aeropuerto"
"393","2","2","Centro Postal, Mecanizado, Del"
"394","0","0","Guadalajara, Jal."
"395","1","1","Puerto Vallarta, Jal."
"396","4","4","Terminal Intermodal Ferroviaria"
"397","0","0","Sonoyta, Son."
"398","1","1","San Emeterio, Son."
"399","0","0","L?zaro C?rdenas, Mich."
"400","1","1","Zihuatanejo, Gro."
"401","0","0","Monterrey, N.L."
"402","1","1","Aeropuerto Internal. De Apodaca"
"403","0","0","Cancun, Q. Roo."
"404","2","2","Aeropuerto Internal. De Cozumel"
"405","3","3","Puerto Morelos, Q. Roo."
"406","0","0","Quer?taro, Qro."
"407","2","2","Aeropuerto Internal. De Morelia"
"408","3","3","Celaya, Gto. (Exportaci?n)"
"409","4","4","Aeropuerto Internal. Del Baj"
"410","5","5","Le?n, Gto. (Exportaci?n)"
"411","0","0","Toluca, Mex."
"412","0","0","Chihuahua, Chih."
"413","1","1","Parque Ind. Las Am?ricas, Chi"
"414","2","2","Aeropuerto Internal. Chihuahua"
"415","0","0","Aguascalientes, Ags."
"416","1","1","San Luis Potos?, S.L.P.(Exportaci?n)"
"417","2","2","Aeropuerto Internal. De Calera"
"418","0","0","Puebla, Pue."
"419","1","1","Cuernavaca, Mor."
"420","2","2","Tlaxcala, Tlax."
"421","0","0","Colombia, N.L."
"422","0","0","Altamira, Tamps."
"423","0","0","Cd. Camargo, Tamps."
"424","0","0","Dos Bocas, Tab. y Aeropuerto Internal. de Palenque, Chi."
"425","1","1","Aeropuerto Internal. ""C.P. A. Carlos Robirosa"", Villahermosa"
"426","2","2","Frontera, Tabasco."
"427","0","0","Acapulco, Gro."
"428","0","0","Agua Prieta, Sonora."
"429","0","0","Subteniente L??pez, Q. Roo"
"430","0","0","Cd. Del Carmen, Camp."
"431","1","1","Campeche, Camp."
"432","2","2","Frontera, Tab."
"433","0","0","Cd. Ju?írez, Chih."
"434","1","1","Puente Internal. Zaragoza-Isle"
"435","2","2","San Jeronimo-Sta. Teresa"
"436","3","3","Aeropuerto Internal. Ju?írez"
"437","0","0","Coatzacoalcos, Ver."
"438","1","1","Aeropuerto Internal. Villahermosa"
"439","0","0","Ensenada, B.C."
