"id","adu_numero","adu_seccion","adu_denomina"
"114","73","5","AEROPUERTO INTERNACIONAL LIC. JESUS TERAN PEREDO, AGUASCALIENTES, AGUASCALIENTES."
"115","75","0","PUEBLA, HEROICA PUEBLA DE ZARAGOZA, PUEBLA."
"116","75","1","CUERNAVACA, JIUTEPEC, MORELOS."
"117","75","4","AEROPUERTO INTERNACIONAL HERMANOS SERDAN, HUEJOTZINGO, PUEBLA."
"118","80","0","COLOMBIA, COLOMBIA, NUEVO LEON."
"119","81","0","ALTAMIRA, ALTAMIRA, TAMAULIPAS."
"120","82","0","CIUDAD CAMARGO, CIUDAD CAMARGO, TAMAULIPAS."
"121","83","0","DOS BOCAS, PARAISO, TABASCO."
"122","83","1","AEROPUERTO INTERNACIONAL C.P.A. CARLOS ROVIROSA PEREZ, CIUDAD DE VILLAHERMOSA, CENTRO, TABASCO."
"123","83","4","EL CEIBO, TENOSIQUE, TABASCO."
"124","84","0","GUANAJUATO, SILAO, GUANAJUATO."
"125","84","1","CELAYA, CELAYA, GUANAJUATO."
"126","84","2","AEROPUERTO INTERNACIONAL DE GUANAJUATO, SILAO, GUANAJUATO."
"127","0","0","Acapulco, Gro."
"128","0","0","Agua Prieta, Sonora."
"129","0","0","Subteniente L??pez, Q. Roo"
"130","0","0","Cd. Del Carmen, Camp."
"131","1","1","Campeche, Camp."
"132","2","2","Frontera, Tab."
"133","0","0","Cd. Ju?írez, Chih."
"134","1","1","Puente Internal. Zaragoza-Isle"
"135","2","2","San Jeronimo-Sta. Teresa"
"136","3","3","Aeropuerto Internal. Ju?írez"
"137","0","0","Coatzacoalcos, Ver."
"138","1","1","Aeropuerto Internal. Villahermosa"
"139","0","0","Ensenada, B.C."
"140","0","0","Guaymas, Son."
"141","0","0","La Paz, B.C.S."
"142","2","2","San Jos? Del Cabo, B.C.S."
"143","3","3","Cabo San Lucas, B.C.S."
"144","4","4","Santa Rosalia, B.C.S."
"145","5","5","Loreto, B.C.S."
"146","7","7","Pichilingue, B.C.S."
"147","0","0","Manzanillo, Col."
"148","0","0","Matamoros, Tamps."
"149","1","1","Pte. Internal Lucio Blanco-Los"
"150","0","0","Mazatlan, Sin."
"151","3","3","Topolobampo, Sin."
"152","4","4","Aeropuerto Internal. De Culiacan"
